val_loss,epoch,step,train_loss,test_loss
0.2559083104133606,0,781,,
,0,781,0.43819859623908997,
0.1965271681547165,1,1563,,
,1,1563,0.22015292942523956,
0.1662958860397339,2,2345,,
,2,2345,0.1691947728395462,
0.14044849574565887,3,3127,,
,3,3127,0.13717791438102722,
0.13085798919200897,4,3909,,
,4,3909,0.11542825400829315,
0.11641287803649902,5,4691,,
,5,4691,0.09963162243366241,
0.11429974436759949,6,5473,,
,6,5473,0.08762530237436295,
0.10680127143859863,7,6255,,
,7,6255,0.07740233838558197,
0.11246157437562943,8,7037,,
,8,7037,0.06875547021627426,
0.10200732946395874,9,7819,,
,9,7819,0.06197791174054146,
0.10200732946395874,9,7820,,
,9,7820,,0.09384258091449738
